id,name,set,cn,oid,cmc,ci,type
0014def3-4063-4929-ac51-76aef1bb2a68,Shahrazad,ARN,10,fc04f621-338b-4d4c-bf57-5e5a00d990f0,2,W,Sorcery
00372c7a-2e83-4a26-9642-0d092dfcf861,Eldrazi Temple,SLD,1154,7fab8d65-af51-47d3-8f10-2676bf6e8ba3,0,,Land
0055ea30-20fb-4324-a632-8fed87628f05,"Boseiju, Who Endures",NEO,412,bf1341dd-41a3-49f6-87ec-63170dde4324,0,G,Legendary Land
00775f44-fbe6-41ee-9977-d13d1fb5b6fb,Cyclopean Tomb,LEB,241,1edee40f-d153-4d67-aee7-ef08e11e4a79,4,,Artifact
009661e7-c704-43a1-82e3-7da0b609844e,"Lady Zhurong, Warrior Queen",PTK,139,531e6ffb-28e0-4e8e-ad88-2f3a243789cf,5,G,Legendary Creature — Human Soldier Warrior
00b016d7-e7ac-4958-b21e-82324b001369,Disintegrate,SUM,142,92d6af2f-728e-4e41-87cb-5c90878a2f2f,1,R,Sorcery
00e40c64-58fa-421e-9d01-93b0642f7d8b,Luxury Suite,ZNE,18,819e1765-8325-4e6f-89c1-63ea86de369f,0,BR,Land
01006833-6007-4c16-9ebb-20d31c60a57a,Taiga,2ED,283,22e3cf1d-3559-4ce1-954c-8dc815342979,0,GR,Land — Mountain Forest
01033dae-fec1-41f2-b7f2-cc6a43331790,Parallel Lives,ISD,199,84dc94b2-95fb-4d53-aaa2-191cb645639f,4,G,Enchantment
01116585-a8c7-4619-b0a6-fcfe78fdaf3c,Granite Gargoyle,2ED,156,ef5248d4-4cd1-447c-bdcc-78a09a67d923,3,R,Creature — Gargoyle
0163dd21-9f9f-4656-b0b2-7774be0b6ada,Imperial Seal,2X2,354,16cd0b90-f70c-4efa-b252-8de8784ef9a3,1,B,Sorcery
019b51b0-e5c6-4208-922b-7736686dddcd,Agatha's Soul Cauldron,WOE,242,c259e16f-2a44-4552-8678-815f757a02e8,2,,Legendary Artifact
01a4a36a-f10a-411b-9558-cbbb62e8b4ae,Dawn of a New Age,LTR,731,37df5ade-6a21-4b0c-89f8-e2e917589a8d,2,W,Enchantment
