id,eur
0014def3-4063-4929-ac51-76aef1bb2a68,372.69
00372c7a-2e83-4a26-9642-0d092dfcf861,46.39
0055ea30-20fb-4324-a632-8fed87628f05,47.30
00775f44-fbe6-41ee-9977-d13d1fb5b6fb,159.47
009661e7-c704-43a1-82e3-7da0b609844e,32.78
00b016d7-e7ac-4958-b21e-82324b001369,575.00
00e40c64-58fa-421e-9d01-93b0642f7d8b,26.43
01006833-6007-4c16-9ebb-20d31c60a57a,547.33
01033dae-fec1-41f2-b7f2-cc6a43331790,20.86
01116585-a8c7-4619-b0a6-fcfe78fdaf3c,35.30
0163dd21-9f9f-4656-b0b2-7774be0b6ada,124.99
019b51b0-e5c6-4208-922b-7736686dddcd,32.55
01a4a36a-f10a-411b-9558-cbbb62e8b4ae,115.51
01bda3d7-122a-48a0-bab3-676c4a557b74,4207.23
024110ee-5520-49f8-afab-54dcce87c650,20.19
0254bff2-a3a7-434e-980a-2d30355793fc,79.14
026dd2cb-d759-43d8-a542-a7a71bdeba98,703.96
029eaaa9-e45e-4c50-a03d-ad67e3dfcc3e,31.12
029ff21a-b175-4e81-8712-4dae185ad790,92.54
02c4edfa-7822-40bc-88d1-d051b3a64df1,511.52
02e17705-739e-409f-a6fd-7bab22120b22,37.91
02e8e540-8aa3-4e6a-9a11-c3949cab5f0f,22.11
02ec317b-52a6-4490-80e5-a56826b06771,496.96
030e46a1-64a7-47e3-9b9f-82a22fe3734b,20.12
0324641d-af55-4c53-b4dc-c8262e967da5,10577.40
0341da27-3d77-4959-b7fa-5929b2cc7141,168.30
03482c9c-1f25-4d73-9243-17462ea37ac4,36.39
034e0929-b2c7-4b5f-94f2-8eaf4fb1a2a1,21.73
041591b9-8eae-4c47-97aa-bb0a59b3f6a4,58.88
043b2d30-a40f-4d47-933b-80544512f9c2,49.94
043de2ce-9ee9-414f-9385-6e5260173988,45.52
045814ab-da2c-460e-acf3-3bbf7bd5fe38,20.83
0458b733-d689-4cb5-8970-3b675c67fc4d,145.06
04a474e3-e7de-4b4d-ad89-a72571968687,27.16
04b31611-9053-4eaf-b392-21bb644fef5f,107.19
05145c58-8317-4629-8573-9dff02e62c94,25.62
053f724c-c88d-44c0-9902-6400c064640b,21.63
05514fab-079c-4c73-bc4c-355621f56d73,22.69
